300K to 150K,5K/min,,,,,,100K to 380K,5K/min,,,,,,380K to 300K,5K/min,,,,,,300K to 100K,14K/min,,,,,,100K to 300K,15K/min,,,,
Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms)
14578529.98,253.7102509,0.013772937,9.989999771,0.001207691,13.77293659,,14581505.14,150.1333008,3.005269414,9.989999771,0.080951847,3005.269414,,14584726.2,324.9282074,0.018062283,9.989999771,4.77E-05,18.06228325,,,,,,,,,,,,,,
14578553.91,251.6992493,0.018801752,9.989999771,0.002048644,18.80175156,,14581527.63,152.0234985,2.134130967,9.989999771,0.093855495,2134.130967,,14584736.48,322.867691,0.01778883,9.989999771,4.02E-05,17.78883018,,,,,,,,,,,,,,
14578577.06,249.7667465,0.016197904,9.989999771,0.000185675,16.19790382,,14581552.25,154.0691452,1.420348447,9.989999771,0.049391686,1420.348447,,14584745.45,321.0545502,0.017595601,9.989999771,6.39E-05,17.59560059,,,,,,,,,,,,,,
14578601.53,247.7368469,0.014540119,9.989999771,8.14E-05,14.54011894,,14581575.56,155.9981461,0.912884141,9.989999771,0.028036817,912.8841406,,14584755.47,319.0327606,0.017328248,9.989999771,4.37E-05,17.32824829,,,,,,,,,,,,,,
14578625.59,245.7017059,0.013667688,9.989999771,4.29E-05,13.66768761,,14581599.64,158.0294495,0.565691563,9.989999771,0.021131855,565.6915625,,14584765.75,316.9930115,0.017075103,9.989999771,3.91E-05,17.075103,,,,,,,,,,,,,,
14578647.59,243.7819061,0.013080338,9.989999771,6.90E-05,13.08033848,,14581622.97,159.9655991,0.357687256,9.989999771,0.014861949,357.6872559,,14584776.06,314.9542542,0.016809314,9.989999771,4.65E-05,16.80931396,,,,,,,,,,,,,,
14578671.84,241.8142014,0.012857949,9.989999771,0.000242909,12.85794872,,14581647.05,161.9889984,0.178822643,9.989999771,0.004079527,178.8226434,,14584785.27,313.0835419,0.016584333,9.989999771,4.24E-05,16.58433258,,,,,,,,,,,,,,
14578697.22,239.7225494,0.012192616,9.989999771,5.21E-05,12.19261578,,14581671.36,163.9859009,0.143557871,9.989999771,0.002848441,143.5578711,,14584795.39,311.0543518,0.01636158,9.989999771,5.08E-05,16.36157959,,,,,,,,,,,,,,
14578720.56,237.7802505,0.011668585,9.989999771,7.66E-05,11.66858505,,14581694.66,165.961853,0.119979748,9.989999771,0.003460079,119.9797476,,14584805.47,309.0131531,0.016115634,9.989999771,4.54E-05,16.11563408,,,,,,,,,,,,,,
14578744.45,235.8185501,0.01151189,9.989999771,5.07E-05,11.51189026,,14581719.2,168.0026016,0.10047638,9.989999771,0.00226796,100.47638,,14584815.33,307.0810547,0.015892307,9.989999771,4.75E-05,15.89230701,,,,,,,,,,,,,,
14578792.69,231.8291016,0.010948273,9.989999771,5.26E-05,10.94827305,,14581742.13,169.8928452,0.087169629,9.989999771,0.001887153,87.16962921,,14584825.89,304.9742584,0.015666537,9.989999771,3.22E-05,15.66653748,,,,,,,,,,,,,,
14578816.67,229.8143539,0.010953924,9.989999771,6.19E-05,10.95392437,,14581765.88,171.868103,0.074828795,9.989999771,0.00404563,74.82879501,,14584835.7,302.9824066,0.015421184,9.989999771,4.71E-05,15.4211842,,,,,,,,,,,,,,
14578840.97,227.7855988,0.011100263,9.989999771,8.25E-05,11.10026306,,14581790.36,173.9272537,0.066004454,9.989999771,0.001187654,66.00445419,,14584852.25,,,,,,,,,,,,,,,,,,,
14578863.7,225.8947983,0.01124495,9.989999771,5.95E-05,11.24494972,,14581813.58,175.8402557,0.058478271,9.989999771,0.001232482,58.47827103,,,,,,,,,,,,,,,,,,,,,
14578888.28,223.84375,0.011345419,9.989999771,9.05E-05,11.3454192,,14581837.53,177.8694,0.052751046,9.989999771,0.000944016,52.75104599,,,,,,,,,,,,,,,,,,,,,
14578912.63,221.7818527,0.011653831,9.989999771,6.59E-05,11.65383053,,14581860.94,179.8040009,0.047225301,9.989999771,0.000781367,47.22530106,,,,,,,,,,,,,,,,,,,,,
14578935.59,219.8985519,0.011940098,9.989999771,7.55E-05,11.94009789,,14581885.09,181.7967453,0.041965346,9.989999771,0.000740172,41.96534576,,,,,,,,,,,,,,,,,,,,,
14578959.67,217.8741531,0.012389711,9.989999771,6.41E-05,12.389711,,14581909.34,183.8516006,0.038103717,9.989999771,0.000616796,38.10371704,,,,,,,,,,,,,,,,,,,,,
14578983.84,215.854599,0.012773232,9.989999771,8.25E-05,12.77323193,,14581933.52,185.8416977,0.035122287,9.989999771,0.000651235,35.12228714,,,,,,,,,,,,,,,,,,,,,
14579006.83,213.853096,0.013179197,9.989999771,0.000156089,13.17919689,,14581956.56,187.7641983,0.032054314,9.989999771,0.001145253,32.05431381,,,,,,,,,,,,,,,,,,,,,
14579032.03,211.8362961,0.013917927,9.989999771,9.43E-05,13.91792702,,14581980.94,189.8021469,0.030519741,9.989999771,0.00045434,30.51974083,,,,,,,,,,,,,,,,,,,,,
14579055.77,209.8429947,0.014467386,9.989999771,0.000150133,14.46738567,,14582004.09,191.7195511,0.028958413,9.989999771,0.000615231,28.95841263,,,,,,,,,,,,,,,,,,,,,
14579080.13,207.8079453,0.01503826,9.989999771,0.00022555,15.03826031,,14582027.84,194.0339432,0.021385489,9.989999771,0.000454469,21.38548897,,,,,,,,,,,,,,,,,,,,,
14579102.69,205.9325943,0.015989361,9.989999771,0.00011232,15.98936142,,14582051.64,195.6853943,0.038080921,9.989999771,0.015416894,38.08092079,,,,,,,,,,,,,,,,,,,,,
14579128.11,203.8734512,0.016882345,9.989999771,0.000205531,16.88234543,,14582075.77,197.7639999,0.031897162,9.989999771,0.019359976,31.89716153,,,,,,,,,,,,,,,,,,,,,
14579151.7,201.8989487,0.017759065,9.989999771,0.000300163,17.75906517,,14582100.19,199.7415009,0.022107357,9.989999771,0.000670384,22.10735725,,,,,,,,,,,,,,,,,,,,,
14579175.58,199.9031982,0.01889342,9.989999771,0.000244008,18.89341972,,14582123.2,201.6797485,0.031171774,9.989999771,0.003496301,31.17177437,,,,,,,,,,,,,,,,,,,,,
14579199.81,197.8758469,0.020020158,9.989999771,0.000262346,20.02015816,,14582147.31,203.8451996,0.028799552,9.989999771,0.016848591,28.79955162,,,,,,,,,,,,,,,,,,,,,
14579222.59,195.9916458,0.021097364,9.989999771,0.000273728,21.09736366,,14582171.92,205.7230453,0.02307073,9.989999771,0.009227975,23.07072974,,,,,,,,,,,,,,,,,,,,,
14579246.67,193.9586487,0.022541891,9.989999771,0.000382121,22.54189125,,14582195.02,207.656601,0.001217784,9.989999771,0.007217183,1.217784191,,,,,,,,,,,,,,,,,,,,,
14579270.91,191.9516983,0.024242055,9.989999771,0.000244886,24.24205475,,14582219.45,209.6841507,0.011916041,9.989999771,0.00275933,11.91604149,,,,,,,,,,,,,,,,,,,,,
14579293.13,189.9445953,0.025495874,9.989999771,0.000501113,25.49587425,,14582243.11,211.679451,0.013529887,9.989999771,0.001021458,13.52988678,,,,,,,,,,,,,,,,,,,,,
14579318.33,187.9776993,0.028029687,9.989999771,0.000239698,28.02968651,,14582266.31,213.5833969,0.011271334,9.989999771,0.000809731,11.27133408,,,,,,,,,,,,,,,,,,,,,
14579342.3,185.9242477,0.03069119,9.989999771,0.000391954,30.69119041,,14582290.22,215.5747528,0.042887177,9.989999771,0.01713344,42.88717651,,,,,,,,,,,,,,,,,,,,,
14579366.77,183.9794464,0.034071539,9.989999771,0.000510588,34.07153885,,14582314.27,217.6011505,0.014486555,9.989999771,0.000267591,14.48655495,,,,,,,,,,,,,,,,,,,,,
14579390.61,181.9645996,0.036908035,9.989999771,0.000527975,36.90803482,,14582337.47,219.5107498,0.013217074,9.989999771,0.000117824,13.21707378,,,,,,,,,,,,,,,,,,,,,
14579414.84,179.7358017,0.034158788,9.989999771,0.003802953,34.15878838,,14582361.39,221.5105972,0.012764668,9.989999771,0.000211346,12.76466827,,,,,,,,,,,,,,,,,,,,,
14579439.53,177.8889008,0.046038301,9.989999771,0.000884117,46.03830139,,14582385.55,223.5356979,0.012482294,9.989999771,9.15E-05,12.48229385,,,,,,,,,,,,,,,,,,,,,
14579462.64,175.9736557,0.050870987,9.989999771,0.00099946,50.87098679,,14582409.45,225.5338516,0.01204581,9.989999771,0.000134054,12.04580959,,,,,,,,,,,,,,,,,,,,,
14579485.48,174.0558472,0.056431099,9.989999771,0.000960068,56.43109894,,14582433.52,227.47715,0.010532632,9.989999771,0.00079097,10.53263191,,,,,,,,,,,,,,,,,,,,,
14579509.84,172.0124512,0.064789807,9.989999771,0.001061075,64.78980667,,14582456.41,229.4718552,0.011369875,9.989999771,0.000130673,11.36987541,,,,,,,,,,,,,,,,,,,,,
14579533.06,169.9620972,0.07409043,9.989999771,0.00155194,74.09042999,,14582481.75,231.5224991,0.011348298,9.989999771,0.000112537,11.34829815,,,,,,,,,,,,,,,,,,,,,
14579556.94,167.7812042,0.068009191,9.989999771,0.011284709,68.00919128,,14582503.81,233.383194,0.011138364,9.989999771,8.63E-05,11.13836422,,,,,,,,,,,,,,,,,,,,,
14579581.86,165.9883499,0.099775621,9.989999771,0.002195971,99.77562134,,14582529.44,235.4994507,0.010960985,9.989999771,3.86E-05,10.96098484,,,,,,,,,,,,,,,,,,,,,
14579606.09,164.0006027,0.119125592,9.989999771,0.003377965,119.1255917,,14582552.41,237.4127502,0.010978433,9.989999771,3.37E-05,10.97843304,,,,,,,,,,,,,,,,,,,,,
14579630.14,162.010849,0.143798226,9.989999771,0.00290393,143.7982263,,14582575.97,239.3819046,0.011022452,9.989999771,6.73E-05,11.02245152,,,,,,,,,,,,,,,,,,,,,
14579653.28,160.0906525,0.176650054,9.989999771,0.005127075,176.6500543,,14582600.09,241.4254456,0.010962954,9.989999771,5.49E-05,10.96295433,,,,,,,,,,,,,,,,,,,,,
14579677.66,158.0328979,0.221239796,9.989999771,0.005510804,221.2397955,,14582624.59,243.4468536,0.011025625,9.989999771,4.15E-05,11.02562477,,,,,,,,,,,,,,,,,,,,,
14579700.61,155.8048019,0.160334438,9.989999771,0.007304589,160.3344379,,14582647.67,245.3616943,0.011247807,9.989999771,6.43E-05,11.24780659,,,,,,,,,,,,,,,,,,,,,
14579724.91,154.1039963,0.862964016,9.989999771,0.034496559,862.9640161,,14582671.84,247.3825989,0.011587097,9.989999771,0.000140979,11.58709724,,,,,,,,,,,,,,,,,,,,,
14579749.48,152.0545502,1.357747261,9.989999771,0.051028733,1357.747261,,14582695.75,249.3918991,0.012111297,9.989999771,5.86E-05,12.11129704,,,,,,,,,,,,,,,,,,,,,
14579772.17,150.0762024,2.027095713,9.989999771,0.065328256,2027.095713,,14582719.47,251.3637466,0.011956056,9.989999771,0.000177995,11.95605568,,,,,,,,,,,,,,,,,,,,,
14579796.75,148.116951,2.975051006,9.989999771,0.068720211,2975.051006,,14582743.23,253.333847,0.013561083,9.989999771,0.001168186,13.56108341,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14582766.17,255.2755508,0.012285247,9.989999771,6.45E-05,12.285247,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14582790.47,257.2718964,0.012656684,9.989999771,0.000953377,12.65668415,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14582814.42,259.2865601,0.013614005,9.989999771,0.000129859,13.61400505,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14582839.25,261.3398895,0.013198306,9.989999771,0.000115856,13.19830555,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14582861.44,263.1964874,0.013254356,9.989999771,0.000181729,13.25435589,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14582885.52,265.1842041,0.01318821,9.989999771,0.000171095,13.18820965,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14582909.88,267.2153473,0.013187316,9.989999771,0.000153199,13.18731586,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14582934.03,269.2514954,0.013337871,9.989999771,0.00010278,13.33787113,,,,,,,,,,,,,,,,,,,,,
