PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557457575,,5.00E+01,2.97E+02,1.50E-06,1.78E-08,-2.22E-02,1.50E-02,3,9.02E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.74E+00,0,,0
1557457591,,5.00E+01,2.95E+02,1.53E-06,7.74E-09,-1.75E-02,6.91E-05,3,9.19E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.79E+00,0,,0
1557457607,,5.00E+01,2.93E+02,1.51E-06,1.48E-08,-3.20E-02,1.84E-02,3,8.99E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.59E+00,0,,0
1557457623,,5.00E+01,2.90E+02,1.53E-06,2.20E-08,-2.69E-02,5.96E-03,3,9.02E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.58E+00,0,,0
1557457640,,5.00E+01,2.88E+02,1.48E-06,9.01E-09,-2.21E-02,5.66E-03,3,8.98E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.75E+00,0,,0
1557457655,,5.00E+01,2.86E+02,1.51E-06,3.79E-09,-2.62E-02,1.20E-02,3,8.84E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.76E+00,0,,0
1557457671,,5.00E+01,2.83E+02,1.54E-06,5.75E-09,-2.70E-02,2.44E-03,3,8.91E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.74E+00,0,,0
1557457687,,5.00E+01,2.81E+02,1.55E-06,2.30E-08,-4.46E-02,4.65E-03,3,9.01E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.74E+00,0,,0
1557457703,,5.00E+01,2.79E+02,1.57E-06,1.23E-08,-2.81E-02,1.82E-02,3,9.05E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.54E+00,0,,0
1557457717,,5.00E+01,2.77E+02,1.53E-06,1.86E-08,-3.92E-02,1.06E-02,3,9.05E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.72E+00,0,,0
1557457734,,5.00E+01,2.75E+02,1.55E-06,2.22E-08,-2.06E-02,2.07E-02,3,9.11E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.53E+00,0,,0
1557457750,,5.00E+01,2.72E+02,1.52E-06,4.95E-09,-2.73E-02,7.05E-03,3,8.97E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.66E+00,0,,0
1557457764,,5.00E+01,2.71E+02,1.52E-06,3.44E-08,-4.27E-02,5.90E-04,3,9.03E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.70E+00,0,,0
1557457780,,5.00E+01,2.68E+02,1.53E-06,2.07E-09,-3.88E-02,1.13E-02,3,8.82E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.65E+00,0,,0
1557457796,,5.00E+01,2.66E+02,1.56E-06,5.30E-09,-4.04E-02,5.79E-03,3,9.06E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.50E+00,0,,0
1557457811,,5.00E+01,2.64E+02,1.57E-06,2.77E-09,-4.57E-02,8.24E-03,3,8.98E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.33E+00,0,,0
1557457826,,5.00E+01,2.63E+02,1.51E-06,9.87E-10,-4.08E-02,1.74E-02,3,9.10E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.59E+00,0,,0
1557457841,,5.00E+01,2.60E+02,1.56E-06,2.22E-08,-3.78E-02,6.02E-04,3,8.77E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.47E+00,0,,0
1557457854,,5.00E+01,2.59E+02,1.56E-06,4.04E-08,-2.52E-02,1.22E-02,3,9.13E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.36E+00,0,,0
1557457869,,5.00E+01,2.57E+02,1.52E-06,1.33E-08,-2.98E-02,1.80E-02,3,8.95E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.31E+00,0,,0
1557457883,,5.00E+01,2.55E+02,1.55E-06,2.24E-08,-2.81E-02,6.17E-03,3,9.18E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.32E+00,0,,0
