光学クライオスタット 300K→50K (180806; 1K/min),,光学クライオスタット 50K→300K (180806; 1K/min),,,PPMS 300K→100K (180709; 2K/min),,PPMS 100K→300K (180709; 2K/min),
270.12,0.033393,79.044,0.019892,,344.4248962,0.031337135,143.7786484,0.023063178
269.94,0.033293,79.218,0.019861,,344.6909485,0.031240041,144.0196991,0.023370352
269.76,0.033303,79.393,0.020143,,344.9235992,0.031442525,144.2847519,0.023045372
269.59,0.033031,79.57,0.020154,,345.1950989,0.031662287,144.5426483,0.023349732
269.41,0.033191,79.749,0.020022,,345.4625397,0.031382193,144.8026505,0.023589711
269.23,0.033172,79.927,0.020023,,345.7237549,0.031400278,145.0647049,0.023494069
269.06,0.033029,80.103,0.020184,,346.02005,0.031399758,145.312851,0.023592404
268.88,0.033091,80.279,0.020145,,346.2633972,0.031486767,145.5800018,0.02351087
268.7,0.033384,80.456,0.020194,,346.521637,0.031503619,145.8389511,0.023671257
268.53,0.033102,80.634,0.020194,,346.762146,0.031609975,146.1186523,0.023657498
268.35,0.033221,80.809,0.020153,,347.0182495,0.031533404,146.3720016,0.02348557
268.17,0.033181,80.984,0.020265,,347.2629547,0.031480238,146.6295013,0.023833146
268,0.0331,81.16,0.020305,,347.5320892,0.031495983,146.8769531,0.023681431
267.82,0.033221,81.337,0.020405,,347.7994385,0.031655765,147.1708527,0.023793434
267.65,0.032998,81.513,0.020607,,348.0446014,0.031526531,147.4096985,0.023883443
267.47,0.03316,81.689,0.020425,,348.2906494,0.031431905,147.6548004,0.023900351
267.29,0.033263,81.866,0.020586,,348.5451965,0.031562424,147.9192963,0.023860549
267.12,0.03314,82.041,0.020395,,348.8050995,0.031715404,148.1712494,0.024044688
266.94,0.033423,82.219,0.020468,,349.0731506,0.031673159,148.4295959,0.023794411
266.76,0.033513,82.397,0.020607,,349.3255005,0.031845134,148.6810989,0.024130985
266.59,0.033415,82.574,0.020345,,349.5653992,0.031702179,148.9409027,0.024147994
266.41,0.033655,82.752,0.020687,,349.8369141,0.031578041,149.1857529,0.024093564
266.23,0.033567,82.931,0.020567,,350.0812531,0.031692251,149.4562988,0.02401371
266.06,0.033351,83.108,0.020637,,350.2245483,0.03189601,149.7190933,0.024286777
265.88,0.033413,83.284,0.020667,,350.24086,0.031781602,149.9679489,0.023805116
265.7,0.033361,83.461,0.020789,,350.1698456,0.031805029,150.219902,0.024296705
265.53,0.033584,83.637,0.020678,,350.0169067,0.031712107,150.4838028,0.024265549
265.35,0.03327,83.813,0.020891,,349.9848022,0.031560536,150.7717438,0.024282194
265.17,0.033231,83.989,0.020889,,349.8454895,0.031696069,151.0293045,0.024199409
265,0.033491,84.166,0.020859,,349.5858917,0.031652112,151.2766037,0.024422713
264.82,0.03327,84.345,0.020919,,349.2615051,0.03178542,151.5505981,0.024313032
264.64,0.033098,84.521,0.021082,,348.9563446,0.03150702,151.8332977,0.024474643
264.47,0.03316,84.696,0.021182,,348.7030945,0.031602899,152.1042023,0.024491094
264.29,0.03318,84.873,0.020849,,348.4723969,0.031311149,152.3442993,0.02451741
264.11,0.033162,85.05,0.020879,,348.2428436,0.031587626,152.6136017,0.024541969
263.94,0.033017,85.225,0.020961,,347.9972534,0.031565525,152.8740463,0.024564758
