QuickDAQ Data
2018/12/27 22:01:46
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 5.31423E-005, 9.2974987030,-1.7106235027,
 5.32581E-005, 9.3108415604,-1.6975831985,
 5.33738E-005, 9.3241796494,-1.6849136353,
 5.34896E-005, 9.3371438980,-1.6725111008,
 5.36054E-005, 9.3495950699,-1.6603910923,
 5.37212E-005, 9.3615331650,-1.6485452652,
 5.38370E-005, 9.3731393814,-1.6369664669,
 5.39527E-005, 9.3850135803,-1.6257405281,
 5.40685E-005, 9.3962488174,-1.6147315502,
 5.41843E-005, 9.4076051712,-1.6040682793,
 5.43001E-005, 9.4189205170,-1.5936839581,
 5.44159E-005, 9.4293479919,-1.5834331512,
 5.45316E-005, 9.4396867752,-1.5734565258,
 5.46474E-005, 9.4498996735,-1.5637767315,
 5.47632E-005, 9.4594173431,-1.5542936325,
 5.48790E-005, 9.4684209824,-1.5450096130,
 5.49947E-005, 9.4774208069,-1.5360045433,
 5.51105E-005, 9.4870262146,-1.5273725986,
 5.52263E-005, 9.4961595535,-1.5189051628,
 5.53421E-005, 9.5042619705,-1.5104973316,
 5.54579E-005, 9.5130586624,-1.5024650097,
 5.55736E-005, 9.5212411880,-1.4945578575,
 5.56894E-005, 9.5289211273,-1.4867854118,
 5.58052E-005, 9.5370531082,-1.4792668819,
 5.59210E-005, 9.5448961258,-1.4718747139,
 5.60368E-005, 9.5527982712,-1.4646530151,
 5.61525E-005, 9.5598039627,-1.4574646950,
 5.62683E-005, 9.5665855408,-1.4504492283,
 5.63841E-005, 9.5739603043,-1.4436948299,
 5.64999E-005, 9.5809535980,-1.4370143414,
 5.66156E-005, 9.5877218246,-1.4304614067,
 5.67314E-005, 9.5942974091,-1.4240300655,
 5.68472E-005, 9.6001873016,-1.4176714420,
 5.69630E-005, 9.6069717407,-1.4116227627,
 5.70788E-005, 9.6141805649,-1.4057481289,
 5.71945E-005, 9.6199283600,-1.3997960091,
 5.73103E-005, 9.6251792908,-1.3939893246,
 5.74261E-005, 9.6314487457,-1.3885450363,
 5.75419E-005, 9.6372127533,-1.3831055164,
 5.76577E-005, 9.6417913437,-1.3776445389,
 5.77734E-005, 9.6470146179,-1.3725054264,
 5.78892E-005, 9.6524639130,-1.3674819469,
 5.80050E-005, 9.6577243805,-1.3625121117,
 5.81208E-005, 9.6631488800,-1.3576674461,
 5.82365E-005, 9.6683597565,-1.3528859615,
 5.83523E-005, 9.6727771759,-1.3480901718,
 5.84681E-005, 9.6770458221,-1.3433754444,
 5.85839E-005, 9.6820087433,-1.3388550282,
 5.86997E-005, 9.6870937347,-1.3344764709,
 5.88154E-005, 9.6914472580,-1.3300669193,
 5.89312E-005, 9.6952295303,-1.3256919384,
 5.90470E-005, 9.6989917755,-1.3214492798,
 5.91628E-005, 9.7034349442,-1.3174033165,
 5.92785E-005, 9.7080745697,-1.3134634495,
 5.93943E-005, 9.7123184204,-1.3095343113,
 5.95101E-005, 9.7162113190,-1.3056552410,
 5.96259E-005, 9.7201442719,-1.3018941879,
 5.97417E-005, 9.7240505219,-1.2982034683,
 5.98574E-005, 9.7273635864,-1.2945258617,
 5.99732E-005, 9.7312459946,-1.2910079956,
 6.00890E-005, 9.7354316711,-1.2875950336,
 6.02048E-005, 9.7391033173,-1.2841904163,
 6.03206E-005, 9.7422170639,-1.2807762623,
